Model,CV_MAE,Test_MAE,RMSE,MAPE_%,R2
Gradient Boosting,363.74068911044725,330.2126056898452,431.95540308669973,30.52535057208663,0.19062741993140508
Ridge Regression,402.2868101010502,343.17998304670795,425.8764615844374,36.22864653545776,0.2132478472236673
Extra Trees,398.6214722222223,382.0612499999999,518.5445183235577,34.11237299291046,-0.1663872428584896
Random Forest,400.6009645863395,382.25636772486774,467.5503911794577,36.964194134354756,0.05173981680527173
Linear Regression,697.1138863934201,2084.849674308421,2397.768570538294,233.91703707638987,-23.939353570067606
